Title,Heading,Content,Tokens
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"1430 Biochemistry for Nurses is an introduction to the chemistry and structure-function relationships of carbohydrates, lipids and proteins. It will examine the basic metabolism of carbohydrates and fats, with emphasis on the biochemical fluctuations that occur in human health and disease, and will include a brief introduction to molecular genetics. Entry into this course is restricted to students in the Bachelor of Science in Nursing (Collaborative) Program and those signed in by special permission. Prospective Bachelor of Science in Nursing (Collaborative) program students should consult with the Faculty of Nursing concerning admission to this course. CR: the former BIOC 2430 LC: 4 PR: Level 3 Chemistry or Chemistry 1010 or Chemistry 1810 or equivalent, and acceptance to Bachelor of Science in Nursing (Collaborative) Program UL: may not be used for credit to fulfil the requirements for a major in the Department of Biochemistry",186
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"1600 Food, Drugs, and Your Body examines the substances humans put into their bodies and the impact the substances have on cellular physiology and metabolism. With a special emphasis on current trends, the course introduces the concept of foods and drugs, how they are metabolised by the body, the social and political implications of foods and drugs, how they can influence overall health, and the sometimes grey areas between foods and drugs.",89
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"2005 Food, Food Safety, and Health introduces the concepts of the composition of foods, and how the processing of food affects sensory appeal, shelf life and nutrient composition. Common food and water-borne illnesses (risks and prevention) are covered in the course content. Students will also be introduced to food biotechnologies, including genetically modified organisms, nutraceuticals and the development of functional foods.",88
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"2100 Introduction to Molecular Biology and Genetics will cover the heritability of simple traits from phenotype to genotype; the discovery of DNA as the molecule of heredity; the structure and function of DNA; the elucidation of the genetic code; and the manipulation of DNA for recombinant DNA technology and biotechnology. CO: the former BIOC 2101, Chemistry 2401, Physics 1021 or 1051. Students may replace the co-requisite Chemistry 2401 with Chemistry 2440 as a prerequisite. Chemistry 2440 may not be taken as a co-requisite of 2100. CR: BIOC 2200, Biology 2250 LH: up to four hours on alternate weeks which will normally consist of one three hour laboratory period plus one additional hour on the following day PR: the former BIOC 2101, Chemistry 2401, Physics 1021 or 1051, Science 1807 and Science 1808. Students may replace the co-requisite Chemistry 2401 with Chemistry 2440 as a prerequisite. Chemistry 2440 may not be taken as a co-requisite of 2100.",220
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"2200 Introduction to Molecular Biology and Genetics will cover the heritability of simple traits from phenotype to genotype; the discovery of DNA as the molecule of heredity; the structure and function of DNA; the manipulation of DNA for recombinant DNA technology and biotechnology; and briefly, pharmacogenetics. Biology students should normally take Biology 2250 in the Fall semester, and Biochemistry and Biochemistry (Nutrition) students should normally take BIOC 2200 in Winter semester. CO: Chemistry 2400 CR: BIOC 2100, Biology 2250 PR: Chemistry 1001 or Chemistry 1051",125
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"2201 Introduction to Biochemistry (same as the former BIOC 2101) is an introduction to the major organic substances of living organisms, proteins, carbohydrates and lipids: their structure, analysis and biochemical function. Other topics include: enzymes; the biochemistry of membranes, including the plasma membrane and specialized intracellular membranes; and the biochemistry of selected differentiated cells. CO: Physics 1021 or 1051 CR: the former BIOC 2101, Pharmacy 2004, or the former Pharmacy 3110 PR: Chemistry 1001 or Chemistry 1051, Chemistry 2400 and Physics 1020 or 1050",128
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"2600 Introduction to Human Nutrition (same as Human Kinetics 2600) gives an overview of human nutrition with an emphasis on topics of current interest. Students will gain an understanding of nutrition in the context of health maintenance across the life span. Topics covered will include nutrition during pregnancy, nutrition for infants, Canadian Recommended Nutrient Intakes / Dietary Reference Intakes, weight loss and weight gain, nutriceuticals and ergogenic aids. CR: Human Kinetics 2600 or the former Kinesiology 2600",105
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"2901 Biochemistry Laboratory develops robust basic biochemistry lab skills in the context of a biotechnology project; students purify and characterize a recombinantly expressed enzyme. Students learn skills including safety, pipetting, buffer calculations, making solutions, protein bioinformatics, techniques for protein enrichment, enzyme kinetics measurements and calculations, graphing data, keeping a lab book, teamwork, critical analysis and presentation of their work in several formats. Students may co-author a scientific publication based on their results. AR: attendance is required in the laboratory component of this course CO: Chemistry 2400 LH: 3 PR: Chemistry 1051, Science 1807 and Science 1808",140
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3052 Food Microbiology (same as Biology 3052) is the study of the microbiology of water and food with regard to the beneficial and detrimental roles of microorganisms on interaction with these systems. Emphasis will be on the microbiology of food, fermentations, food spoilage and food borne vectors of human disease. CR: Biology 3052, and the former BIOC 3054, BIOC 3401 LC: three hours per week LH: three hours per week PR: Biology 3050 and Science 1807 and Science 1808",115
Information about Faculty of Science at Memorial University of Newfoundland,Course Descriptions of Biochemistry courses,"3105 Physical Biochemistry examines topics such as: types of intermolecular forces in biomolecules; the folding of biomolecules and the role of water; pH, buffers, and ionisation of biomolecules; thermodynamics: equilibria, coupled reactions, transport across membranes and redox reactions; and ligand binding. Other topics will include: size and shape of biomolecules; isotopes in biochemistry; and, spectroscopy of biomolecules. OR: a two hour problem-solving class PR: BIOC 2201 or the former 2101; and the former Chemistry 2300 or 2301 or Physics 2053",140
